딜ID,회사명,산업,섹터,본사지역,설립연도,임직원수,펀드명,펀드유형,빈티지,담당파트너,딜상태,투자일자,투자금액(억원),지분율(%),매출(억원),EBITDA(억원),EBITDA마진(%),순부채(억원),기업가치EV(억원),진입 EV/EBITDA(x),진입 EV/Revenue(x),보유기간(년),현재평가가치(억원),MOIC(x),Gross IRR(%),회수일자,회수금액(억원),회수방식
DL-01274,한라스튜디오67,미디어/콘텐츠,게임,서울,1989,147,세컨더리 1호,Secondary,2023,배준영,실사(DD),,,,123,6.3,5.1,15.7,52.1,8.3,0.42,,,,,,,
DL-01275,정밀캐피탈,금융서비스,인슈어테크,경기,2002,2936,그로쓰 1호 PEF,Growth,2016,이서준,스크리닝(Screening),,,,1233,402.0,32.6,477.4,3939.2,9.8,3.19,,,,,,,
DL-01276,우진그린텍92,에너지/환경,수처리,인천,2005,3793,스페셜시츄에이션 1호,Special Situation,2018,오세훈,소싱(Sourcing),,,,1533,286.7,18.7,1232.9,4070.7,14.2,2.66,,,,,,,
DL-01277,동방진단,바이오/헬스케어,CRO/CDMO,서울,2020,2814,그로쓰 3호 PEF,Growth,2022,고은채,투자완료(Active),2022-02-04,1751.3,36.6,1153,377.0,32.7,394.9,4712.9,12.5,4.09,4.3,2377.9,1.36,7.3,,,
DL-01278,서연물류,물류/유통,이커머스,서울,2008,1035,벤처그로쓰 1호,Venture,2020,고은채,회수완료(Exited),2024-10-09,349.5,87.1,385,76.6,19.9,171.9,528.6,6.9,1.37,1.7,,1.57,31.1,2026-06-10,549.2,재무적매각(Secondary)
DL-01279,삼정캐피탈,금융서비스,자산관리,충남,1994,636,그로쓰 1호 PEF,Growth,2016,배준영,투자완료(Active),2018-07-02,767.8,98.5,272,100.1,36.8,370.8,1021.0,10.2,3.75,7.9,1391.9,1.81,7.8,,,
DL-01280,태광테크,IT/소프트웨어,데이터/AI,대전,2019,1158,그로쓰 2호 PEF,Growth,2019,남기훈,스크리닝(Screening),,,,515,109.7,21.3,18.9,1305.4,11.9,2.53,,,,,,,
DL-01281,유진게임즈19,미디어/콘텐츠,광고/마케팅,인천,2017,130,그로쓰 2호 PEF,Growth,2019,임수빈,소싱(Sourcing),,,,60,20.6,34.4,80.8,289.0,14.0,4.82,,,,,,,
DL-01282,에스진단,바이오/헬스케어,체외진단,울산,2010,759,그로쓰 3호 PEF,Growth,2022,배준영,투자완료(Active),2024-02-06,272.4,59.3,521,38.0,7.3,39.7,429.8,11.3,0.82,2.3,374.5,1.37,14.6,,,
DL-01283,대명푸드,소비재,식음료,경남,2020,69,세컨더리 1호,Secondary,2023,정우성,소싱(Sourcing),,,,69,19.9,28.9,53.4,147.6,7.4,2.14,,,,,,,
DL-01284,유진제약,바이오/헬스케어,체외진단,부산,1986,406,스페셜시츄에이션 1호,Special Situation,2018,정우성,실사(DD),,,,459,151.0,32.9,245.8,891.0,5.9,1.94,,,,,,,
DL-01285,아이엠바이오,바이오/헬스케어,체외진단,대전,2001,13742,바이아웃 2호 PEF,Buyout,2021,고은채,투자완료(Active),2021-06-28,8134.1,96.4,4943,810.7,16.4,318.5,7376.9,9.1,1.49,5.0,9533.0,1.17,3.3,,,
DL-01286,현우F&B,소비재,패션/리빙,경기,2000,601,스페셜시츄에이션 1호,Special Situation,2018,이서준,스크리닝(Screening),,,,278,88.7,31.9,222.9,576.4,6.5,2.07,,,,,,,
DL-01287,태광리빙,소비재,식음료,경기,1994,286,바이아웃 1호 PEF,Buyout,2017,이서준,투자완료(Active),2024-12-24,681.5,90.4,196,69.0,35.2,16.7,620.9,9.0,3.17,1.5,1463.3,2.15,68.8,,,
DL-01288,삼정서비스,B2B서비스,인력아웃소싱,경기,1998,770,그로쓰 1호 PEF,Growth,2016,이서준,스크리닝(Screening),,,,895,342.8,38.3,479.2,2605.2,7.6,2.91,,,,,,,
DL-01289,광림페이,금융서비스,여신전문,경기,2014,361,그로쓰 3호 PEF,Growth,2022,강태호,투자완료(Active),2024-10-28,66.5,78.2,191,17.4,9.1,9.0,92.1,5.3,0.48,1.6,189.8,2.85,91.4,,,
DL-01290,태광금융,금융서비스,여신전문,부산,2014,346,바이아웃 1호 PEF,Buyout,2017,김도현,투자완료(Active),2021-06-14,129.7,51.8,131,34.5,26.3,92.6,310.1,9.0,2.37,5.0,271.1,2.09,15.9,,,
DL-01291,코리아푸드,소비재,화장품,충북,1989,356,그로쓰 1호 PEF,Growth,2016,오세훈,투자완료(Active),2016-05-05,341.0,83.9,280,55.2,19.7,44.7,413.7,7.5,1.48,10.1,568.1,1.67,5.2,,,
DL-01292,디에이치코스메틱,소비재,화장품,서울,1994,2073,벤처그로쓰 1호,Venture,2020,한승우,회수완료(Exited),2021-03-09,595.6,69.6,764,128.4,16.8,156.3,988.3,7.7,1.29,4.7,,1.95,15.2,2025-11-29,1161.5,전략적매각(M&A)
DL-01293,우진게임즈97,미디어/콘텐츠,교육,광주,2002,406,벤처그로쓰 1호,Venture,2020,강태호,실사(DD),,,,303,42.4,14.0,131.7,526.0,12.4,1.74,,,,,,,
DL-01294,글로벌파트너스,B2B서비스,엔지니어링,충남,1985,340,그로쓰 1호 PEF,Growth,2016,김도현,스크리닝(Screening),,,,133,13.6,10.2,25.5,97.7,7.2,0.73,,,,,,,
DL-01295,서연금융,금융서비스,인슈어테크,경기,2013,1760,그로쓰 1호 PEF,Growth,2016,오세훈,실사(DD),,,,882,169.3,19.2,433.7,2404.7,14.2,2.73,,,,,,,
DL-01296,중앙정보기술67,IT/소프트웨어,핀테크,부산,1987,267,그로쓰 2호 PEF,Growth,2019,서지원,보류/철회(Dropped),,,,116,24.7,21.3,18.8,363.2,14.7,3.13,,,,,,,
DL-01297,동방물류,물류/유통,콜드체인,서울,2021,618,바이아웃 2호 PEF,Buyout,2021,고은채,보류/철회(Dropped),,,,263,77.6,29.5,91.0,1047.4,13.5,3.98,,,,,,,
DL-01298,보광F&B,소비재,패션/리빙,대구,1993,335,그로쓰 2호 PEF,Growth,2019,서지원,스크리닝(Screening),,,,332,48.5,14.6,165.4,465.3,9.6,1.4,,,,,,,
DL-01299,광림소프트72,IT/소프트웨어,정보보안,해외(베트남),1988,1091,그로쓰 3호 PEF,Growth,2022,윤지호,투자완료(Active),2023-02-21,339.4,63.9,685,132.9,19.4,187.0,691.0,5.2,1.01,3.3,507.7,1.5,13.0,,,
DL-01300,서연엔터29,미디어/콘텐츠,광고/마케팅,서울,2001,246,스페셜시츄에이션 1호,Special Situation,2018,서지원,보류/철회(Dropped),,,,282,38.1,13.5,151.2,422.6,11.1,1.5,,,,,,,
DL-01301,제이캐피탈,금융서비스,인슈어테크,서울,2001,296,세컨더리 1호,Secondary,2023,윤지호,스크리닝(Screening),,,,119,20.7,17.4,72.1,186.4,9.0,1.57,,,,,,,
DL-01302,대한코스메틱,소비재,리테일,충남,1988,309,세컨더리 1호,Secondary,2023,고은채,투자완료(Active),2023-10-01,114.3,35.8,174,24.0,13.8,34.4,336.2,14.0,1.93,2.7,315.9,2.76,45.9,,,
DL-01303,동성서비스18,B2B서비스,시설관리,경기,2018,375,스페셜시츄에이션 1호,Special Situation,2018,윤지호,투자완료(Active),2022-09-07,116.7,57.7,258,16.3,6.3,20.9,186.9,11.5,0.72,3.8,312.0,2.67,29.9,,,
DL-01304,케이파트너스94,B2B서비스,MRO,해외(싱가포르),1994,684,그로쓰 1호 PEF,Growth,2016,남기훈,투자완료(Active),2023-09-30,383.1,35.8,333,104.6,31.4,370.2,1327.9,12.7,3.99,2.7,515.2,1.34,11.6,,,
DL-01305,아이엠익스프레스,물류/유통,3PL물류,전남,2001,202,바이아웃 1호 PEF,Buyout,2017,임수빈,실사(DD),,,,228,43.5,19.1,38.3,357.1,8.2,1.57,,,,,,,
DL-01306,서연바이오,바이오/헬스케어,체외진단,경기,1995,428,스페셜시츄에이션 1호,Special Situation,2018,최예린,투자심의(IC),,,,253,81.2,32.1,74.4,592.9,7.3,2.34,,,,,,,
DL-01307,현우에너지10,에너지/환경,폐기물처리,서울,2014,289,바이아웃 2호 PEF,Buyout,2021,배준영,실사(DD),,,,103,38.0,36.9,77.5,402.9,10.6,3.91,,,,,,,
DL-01308,유진테크55,IT/소프트웨어,시스템통합,충남,1999,934,그로쓰 3호 PEF,Growth,2022,남기훈,소싱(Sourcing),,,,930,353.4,38.0,805.9,3286.6,9.3,3.53,,,,,,,
DL-01309,현우랩스91,IT/소프트웨어,SaaS,서울,2020,1310,세컨더리 1호,Secondary,2023,이서준,스크리닝(Screening),,,,832,205.5,24.7,442.0,1561.8,7.6,1.88,,,,,,,
DL-01310,누리미디어36,미디어/콘텐츠,게임,충남,2011,959,스페셜시츄에이션 1호,Special Situation,2018,한승우,투자완료(Active),2021-04-24,90.9,23.6,393,74.3,18.9,274.3,653.6,8.8,1.66,5.1,169.8,1.87,13.0,,,
DL-01311,광림파마,바이오/헬스케어,체외진단,경북,1989,304,바이아웃 2호 PEF,Buyout,2021,오세훈,투자심의(IC),,,,372,143.2,38.5,309.9,802.0,5.6,2.16,,,,,,,
DL-01312,케이환경91,에너지/환경,폐기물처리,경기,2016,1094,그로쓰 3호 PEF,Growth,2022,정우성,투자완료(Active),2023-11-01,484.6,29.3,726,115.4,15.9,92.5,1442.9,12.5,1.99,2.6,1128.5,2.33,38.3,,,
DL-01313,중앙파워23,에너지/환경,신재생에너지,부산,1987,4743,세컨더리 1호,Secondary,2023,김도현,소싱(Sourcing),,,,2507,391.1,15.6,926.5,3089.6,7.9,1.23,,,,,,,
DL-01314,삼정파트너스,B2B서비스,엔지니어링,경기,1986,165,세컨더리 1호,Secondary,2023,최예린,소싱(Sourcing),,,,200,70.2,35.1,183.5,1039.0,14.8,5.19,,,,,,,
DL-01315,우진페이,금융서비스,결제,인천,2012,102,바이아웃 2호 PEF,Buyout,2021,배준영,투자완료(Active),2025-05-15,70.9,48.8,70,18.2,26.0,0.7,127.4,7.0,1.82,1.1,190.8,2.69,152.2,,,
DL-01316,디에이치케미칼,제조/소재,2차전지소재,서울,2018,2386,바이아웃 1호 PEF,Buyout,2017,배준영,투자심의(IC),,,,927,346.7,37.4,1763.2,4299.1,12.4,4.64,,,,,,,
DL-01317,정밀에너지51,에너지/환경,전력/전기,울산,1986,285,바이아웃 2호 PEF,Buyout,2021,고은채,투자완료(Active),2023-09-13,154.0,37.9,184,60.7,33.0,319.2,667.9,11.0,3.63,2.7,133.2,0.87,-5.2,,,
DL-01318,정밀게임즈86,미디어/콘텐츠,교육,경기,2001,2232,벤처그로쓰 1호,Venture,2020,오세훈,투자심의(IC),,,,858,240.2,28.0,661.8,2138.1,8.9,2.49,,,,,,,
DL-01319,글로벌유통,물류/유통,도소매유통,경북,2001,3179,바이아웃 1호 PEF,Buyout,2017,최예린,회수완료(Exited),2021-12-19,2549.9,59.6,1985,597.5,30.1,44.3,3764.2,6.3,1.9,1.5,,2.04,59.5,2023-06-30,5201.1,구주매출
DL-01320,코리아콘텐츠20,미디어/콘텐츠,엔터테인먼트,충남,1988,1210,바이아웃 2호 PEF,Buyout,2021,고은채,회수완료(Exited),2021-08-24,543.6,51.3,573,125.5,21.9,440.8,1292.5,10.3,2.26,3.0,,2.19,30.1,2024-08-12,1188.0,구주매출
DL-01321,대한페이,금융서비스,자산관리,서울,2000,1309,그로쓰 2호 PEF,Growth,2019,박민재,투자완료(Active),2024-03-06,282.6,40.3,1080,89.6,8.3,35.4,645.4,7.2,0.6,2.3,543.8,1.92,33.6,,,
DL-01322,광림F&B,소비재,리테일,서울,2018,290,세컨더리 1호,Secondary,2023,김도현,보류/철회(Dropped),,,,151,41.7,27.6,143.1,391.8,9.4,2.59,,,,,,,
DL-01323,서연리빙,소비재,식음료,경기,2006,970,벤처그로쓰 1호,Venture,2020,임수빈,스크리닝(Screening),,,,895,47.4,5.3,49.2,374.7,7.9,0.42,,,,,,,
DL-01324,세진헬스케어,바이오/헬스케어,CRO/CDMO,충남,1990,753,바이아웃 2호 PEF,Buyout,2021,정우성,투자완료(Active),2022-07-02,291.0,91.1,261,42.8,16.4,198.6,479.4,11.2,1.84,3.9,1373.9,4.72,48.3,,,
DL-01325,광림코스메틱,소비재,식음료,전남,2007,514,벤처그로쓰 1호,Venture,2020,고은채,보류/철회(Dropped),,,,200,55.0,27.5,60.2,341.0,6.2,1.71,,,,,,,
DL-01326,에스케미칼55,제조/소재,산업기계,울산,1987,215,그로쓰 2호 PEF,Growth,2019,강태호,회수완료(Exited),2024-08-17,286.9,56.3,147,44.7,30.4,97.6,594.4,13.3,4.04,1.8,,0.94,-3.3,2026-06-10,270.1,재무적매각(Secondary)
DL-01327,대명파트너스,B2B서비스,엔지니어링,부산,1996,203,세컨더리 1호,Secondary,2023,최예린,투자심의(IC),,,,76,6.9,9.1,11.1,49.8,7.2,0.66,,,,,,,
DL-01328,한국F&B,소비재,리테일,서울,2008,908,바이아웃 2호 PEF,Buyout,2021,고은채,실사(DD),,,,500,170.5,34.1,672.5,1824.3,10.7,3.65,,,,,,,
DL-01329,한라익스프레스,물류/유통,3PL물류,광주,1994,549,그로쓰 1호 PEF,Growth,2016,윤지호,실사(DD),,,,386,73.0,18.9,16.0,510.7,7.0,1.32,,,,,,,
DL-01330,미래이엔지28,에너지/환경,신재생에너지,서울,1987,1025,그로쓰 3호 PEF,Growth,2022,윤지호,실사(DD),,,,499,143.2,28.7,115.1,1059.8,7.4,2.12,,,,,,,
DL-01331,삼정푸드,소비재,리테일,대전,2010,885,그로쓰 3호 PEF,Growth,2022,최예린,스크리닝(Screening),,,,332,33.9,10.2,68.6,447.0,13.2,1.35,,,,,,,
DL-01332,태광물류,물류/유통,도소매유통,울산,2005,617,스페셜시츄에이션 1호,Special Situation,2018,윤지호,스크리닝(Screening),,,,441,106.7,24.2,428.7,1003.2,9.4,2.27,,,,,,,
DL-01333,정밀메디컬,바이오/헬스케어,체외진단,대구,1994,2113,바이아웃 1호 PEF,Buyout,2017,오세훈,실사(DD),,,,1034,262.6,25.4,372.0,1339.4,5.1,1.3,,,,,,,
DL-01334,세진스튜디오24,미디어/콘텐츠,엔터테인먼트,서울,2017,472,바이아웃 2호 PEF,Buyout,2021,박민재,소싱(Sourcing),,,,350,105.0,30.0,98.7,1438.5,13.7,4.11,,,,,,,
DL-01335,대한시스템2,IT/소프트웨어,시스템통합,부산,2008,134,세컨더리 1호,Secondary,2023,남기훈,회수완료(Exited),2024-08-24,65.9,56.5,80,8.3,10.4,8.1,115.6,13.9,1.45,1.8,,1.25,13.2,2026-06-10,82.4,재무적매각(Secondary)
DL-01336,누리파이낸셜,금융서비스,자산관리,경기,2006,443,그로쓰 3호 PEF,Growth,2022,최예린,투자완료(Active),2024-08-26,756.3,79.8,262,99.3,37.9,465.5,1380.2,13.9,5.27,1.8,1410.5,1.86,41.7,,,
DL-01337,대명소재14,제조/소재,정밀화학,서울,2008,1170,바이아웃 1호 PEF,Buyout,2017,정우성,실사(DD),,,,629,123.3,19.6,5.1,1553.4,12.6,2.47,,,,,,,
DL-01338,한솔이엔지75,에너지/환경,전력/전기,서울,2016,446,벤처그로쓰 1호,Venture,2020,임수빈,소싱(Sourcing),,,,257,13.9,5.4,46.8,144.3,10.4,0.56,,,,,,,
DL-01339,미래파마,바이오/헬스케어,디지털헬스,대구,1993,2446,그로쓰 3호 PEF,Growth,2022,윤지호,소싱(Sourcing),,,,1269,427.7,33.7,671.9,2394.9,5.6,1.89,,,,,,,
DL-01340,동방메탈,제조/소재,자동차부품,서울,2014,768,그로쓰 1호 PEF,Growth,2016,고은채,투자완료(Active),2021-11-15,115.5,56.9,339,19.7,5.8,112.8,281.2,14.3,0.83,4.6,167.0,1.45,8.4,,,
DL-01341,광림서비스80,B2B서비스,시설관리,서울,2021,457,스페셜시츄에이션 1호,Special Situation,2018,최예린,투자완료(Active),2024-06-14,103.3,35.1,157,34.9,22.2,107.0,376.4,10.8,2.4,2.0,189.2,1.83,35.6,,,
DL-01342,성안시스템28,IT/소프트웨어,핀테크,경기,2016,175,그로쓰 2호 PEF,Growth,2019,이서준,투자완료(Active),2024-10-12,29.6,22.8,81,8.0,9.9,9.3,117.9,14.7,1.46,1.7,35.3,1.19,11.1,,,
DL-01343,중앙이엔지38,에너지/환경,수처리,경기,1992,1027,그로쓰 3호 PEF,Growth,2022,김도현,회수완료(Exited),2023-05-27,456.0,65.6,876,120.9,13.8,381.5,1075.9,8.9,1.23,3.0,,1.45,13.0,2026-06-10,661.4,재무적매각(Secondary)
DL-01344,성안스튜디오22,미디어/콘텐츠,교육,인천,1992,248,바이아웃 2호 PEF,Buyout,2021,한승우,소싱(Sourcing),,,,106,13.4,12.6,24.4,134.9,10.1,1.27,,,,,,,
DL-01345,에스리빙,소비재,식음료,전북,2017,1676,그로쓰 3호 PEF,Growth,2022,김도현,투자완료(Active),2024-04-05,1015.4,49.1,862,175.0,20.3,664.9,2589.8,14.8,3.0,2.2,840.7,0.83,-8.3,,,
DL-01346,미래에셋,금융서비스,자산관리,서울,1986,409,그로쓰 3호 PEF,Growth,2022,남기훈,소싱(Sourcing),,,,150,14.7,9.8,17.8,88.2,6.0,0.59,,,,,,,
DL-01347,유진헬스케어,바이오/헬스케어,의료기기,대전,2019,1018,세컨더리 1호,Secondary,2023,최예린,소싱(Sourcing),,,,400,30.4,7.6,48.8,288.8,9.5,0.72,,,,,,,
DL-01348,동성케미칼,제조/소재,자동차부품,서울,2018,63,세컨더리 1호,Secondary,2023,한승우,투자완료(Active),2024-08-15,24.3,38.8,30,9.6,32.1,18.3,70.3,7.3,2.34,1.8,62.0,2.55,67.3,,,
DL-01349,태광메디컬,바이오/헬스케어,제약,경기,1993,1103,스페셜시츄에이션 1호,Special Situation,2018,남기훈,보류/철회(Dropped),,,,695,262.0,37.7,1565.1,3432.4,13.1,4.94,,,,,,,
DL-01350,보광커머스,물류/유통,콜드체인,서울,2006,728,벤처그로쓰 1호,Venture,2020,남기훈,투자완료(Active),2021-04-30,353.8,40.9,654,145.2,22.2,669.0,1451.9,10.0,2.22,5.1,1344.1,3.8,29.8,,,
DL-01351,현우캐피탈,금융서비스,여신전문,서울,2013,1209,그로쓰 2호 PEF,Growth,2019,박민재,투자완료(Active),2023-12-21,1351.2,79.3,449,136.5,30.4,301.4,1706.2,12.5,3.8,2.5,1836.1,1.36,13.2,,,
DL-01352,성안시스템87,IT/소프트웨어,SaaS,경기,2004,72,바이아웃 1호 PEF,Buyout,2017,남기훈,스크리닝(Screening),,,,77,25.6,33.2,39.9,202.0,7.9,2.62,,,,,,,
DL-01353,태광익스프레스,물류/유통,3PL물류,경기,2019,340,그로쓰 2호 PEF,Growth,2019,박민재,투자완료(Active),2019-06-09,123.4,42.0,184,50.2,27.3,46.0,331.5,6.6,1.8,7.0,149.6,1.21,2.8,,,
DL-01354,동성파트너스60,B2B서비스,MRO,경기,1993,270,그로쓰 3호 PEF,Growth,2022,서지원,투자완료(Active),2022-12-22,55.2,43.6,91,24.2,26.6,116.2,239.6,9.9,2.63,3.5,77.1,1.4,10.1,,,
DL-01355,대한서비스67,B2B서비스,인력아웃소싱,경기,1990,3165,바이아웃 2호 PEF,Buyout,2021,정우성,소싱(Sourcing),,,,1969,165.4,8.4,177.1,2133.6,12.9,1.08,,,,,,,
DL-01356,동방랩스37,IT/소프트웨어,데이터/AI,경북,2005,400,벤처그로쓰 1호,Venture,2020,강태호,스크리닝(Screening),,,,430,101.0,23.5,385.2,1232.8,12.2,2.87,,,,,,,
DL-01357,디에이치솔루션77,IT/소프트웨어,정보보안,서울,2009,476,벤처그로쓰 1호,Venture,2020,서지원,회수완료(Exited),2023-05-20,149.4,54.8,198,69.5,35.1,254.8,521.2,7.5,2.63,3.1,,2.73,38.8,2026-06-10,407.4,Recap/배당
DL-01358,동성진단,바이오/헬스케어,디지털헬스,부산,2014,1234,바이아웃 2호 PEF,Buyout,2021,최예린,회수완료(Exited),2024-04-26,1003.4,92.8,462,134.0,29.0,45.0,991.5,7.4,2.15,2.1,,1.17,7.5,2026-06-10,1170.2,재무적매각(Secondary)
DL-01359,우진에너지46,에너지/환경,수처리,서울,2016,1049,그로쓰 1호 PEF,Growth,2016,박민재,투자심의(IC),,,,362,50.7,14.0,220.7,704.5,13.9,1.95,,,,,,,
DL-01360,중앙매니지먼트68,B2B서비스,MRO,광주,2013,3554,벤처그로쓰 1호,Venture,2020,이서준,투자완료(Active),2025-04-06,298.5,25.4,1668,116.8,7.0,1.6,1085.9,9.3,0.65,1.2,477.7,1.6,49.1,,,
DL-01361,제이에셋,금융서비스,인슈어테크,대구,2012,2776,그로쓰 3호 PEF,Growth,2022,임수빈,스크리닝(Screening),,,,984,286.3,29.1,613.3,1546.3,5.4,1.57,,,,,,,
DL-01362,광림파트너스49,B2B서비스,엔지니어링,경기,1993,12835,그로쓰 3호 PEF,Growth,2022,윤지호,회수완료(Exited),2022-11-22,10911.0,57.6,4378,1405.3,32.1,2231.9,20236.9,14.4,4.62,3.4,,2.44,29.8,2026-04-23,26617.6,재무적매각(Secondary)
DL-01363,서연콘텐츠91,미디어/콘텐츠,교육,경기,2007,1292,그로쓰 3호 PEF,Growth,2022,고은채,소싱(Sourcing),,,,662,119.8,18.1,257.1,1198.2,10.0,1.81,,,,,,,
DL-01364,성안로지스틱스,물류/유통,도소매유통,서울,2001,1180,세컨더리 1호,Secondary,2023,박민재,투자심의(IC),,,,571,155.3,27.2,354.7,994.0,6.4,1.74,,,,,,,
DL-01365,글로벌솔루션96,B2B서비스,시설관리,서울,2020,590,그로쓰 3호 PEF,Growth,2022,김도현,투자완료(Active),2023-04-21,364.5,71.6,323,116.9,36.2,323.9,783.4,6.7,2.43,3.1,652.3,1.79,20.4,,,
DL-01366,현우엔터90,미디어/콘텐츠,교육,서울,2012,1306,그로쓰 2호 PEF,Growth,2019,배준영,회수완료(Exited),2025-01-07,1186.1,42.7,1061,228.1,21.5,230.1,2737.4,12.0,2.58,1.4,,1.7,45.1,2026-06-10,2013.7,구주매출
DL-01367,신성페이,금융서비스,자산관리,충북,2005,821,그로쓰 1호 PEF,Growth,2016,서지원,투자완료(Active),2022-06-01,67.7,23.3,373,35.4,9.5,181.8,453.6,12.8,1.22,4.0,64.4,0.95,-1.2,,,
DL-01368,가온바이오,바이오/헬스케어,체외진단,해외(미국),2016,515,그로쓰 1호 PEF,Growth,2016,정우성,소싱(Sourcing),,,,551,82.1,14.9,429.4,960.6,11.7,1.74,,,,,,,
DL-01369,정밀로지스틱스,물류/유통,콜드체인,경기,1999,334,세컨더리 1호,Secondary,2023,강태호,투자완료(Active),2024-02-03,236.8,52.5,280,104.7,37.4,387.8,827.3,7.9,2.95,2.3,530.5,2.24,41.0,,,
DL-01370,미래코스메틱,소비재,화장품,경남,1988,920,바이아웃 1호 PEF,Buyout,2017,서지원,스크리닝(Screening),,,,335,116.9,34.9,372.7,1215.9,10.4,3.63,,,,,,,
DL-01371,대명솔루션29,B2B서비스,시설관리,서울,1988,967,그로쓰 1호 PEF,Growth,2016,오세훈,소싱(Sourcing),,,,558,218.2,39.1,669.7,1832.7,8.4,3.28,,,,,,,
DL-01372,케이에셋,금융서비스,결제,충남,1999,1733,그로쓰 1호 PEF,Growth,2016,김도현,투자완료(Active),2021-10-13,188.9,40.5,716,114.6,16.0,328.4,779.0,6.8,1.09,4.7,202.4,1.07,1.5,,,
DL-01373,중앙에너지89,에너지/환경,수처리,해외(베트남),2017,118,바이아웃 2호 PEF,Buyout,2021,정우성,투자완료(Active),2022-01-06,65.9,46.7,77,13.5,17.5,43.9,165.7,12.3,2.15,4.4,66.6,1.01,0.2,,,
DL-01374,한라진단,바이오/헬스케어,디지털헬스,서울,1987,347,스페셜시츄에이션 1호,Special Situation,2018,윤지호,투자심의(IC),,,,128,23.7,18.5,121.9,248.6,10.5,1.94,,,,,,,
DL-01375,대한미디어33,미디어/콘텐츠,광고/마케팅,서울,1992,429,스페셜시츄에이션 1호,Special Situation,2018,임수빈,스크리닝(Screening),,,,190,10.6,5.6,17.6,143.6,13.5,0.76,,,,,,,
DL-01376,한라캐피탈,금융서비스,결제,충남,1989,424,세컨더리 1호,Secondary,2023,이서준,투자심의(IC),,,,144,22.6,15.7,14.4,253.2,11.2,1.76,,,,,,,
DL-01377,한솔소재,제조/소재,철강금속,서울,2016,575,바이아웃 1호 PEF,Buyout,2017,박민재,회수완료(Exited),2021-11-09,1286.2,99.0,549,172.9,31.5,393.4,1556.4,9.0,2.83,4.6,,2.63,23.5,2026-06-10,3383.9,전략적매각(M&A)
DL-01378,제이테크33,제조/소재,산업기계,전남,1986,59,그로쓰 3호 PEF,Growth,2022,한승우,스크리닝(Screening),,,,60,22.1,36.8,25.1,139.1,6.3,2.32,,,,,,,
DL-01379,광림제약,바이오/헬스케어,제약,서울,2019,482,스페셜시츄에이션 1호,Special Situation,2018,정우성,회수완료(Exited),2023-04-06,224.9,71.0,510,57.6,11.3,49.0,311.2,5.4,0.61,3.2,,2.62,35.4,2026-06-10,589.5,Recap/배당
DL-01380,가온커머스32,물류/유통,콜드체인,경기,1995,3298,세컨더리 1호,Secondary,2023,박민재,보류/철회(Dropped),,,,1793,209.8,11.7,402.3,2370.5,11.3,1.32,,,,,,,
DL-01381,삼정소재,제조/소재,산업기계,서울,1999,270,세컨더리 1호,Secondary,2023,정우성,투자완료(Active),2024-07-20,198.8,78.6,127,41.8,32.9,126.1,355.2,8.5,2.8,1.9,300.2,1.51,24.4,,,
DL-01382,보광바이오,바이오/헬스케어,디지털헬스,경기,1988,80,바이아웃 1호 PEF,Buyout,2017,정우성,실사(DD),,,,59,5.7,9.7,17.2,49.8,8.7,0.84,,,,,,,
DL-01383,코리아에너지35,에너지/환경,폐기물처리,경기,2002,1093,그로쓰 2호 PEF,Growth,2019,배준영,투자완료(Active),2025-04-03,694.2,33.7,376,139.5,37.1,47.6,1952.9,14.0,5.19,1.2,1289.6,1.86,68.6,,,
DL-01384,삼정물류,물류/유통,도소매유통,광주,1988,3905,스페셜시츄에이션 1호,Special Situation,2018,박민재,실사(DD),,,,2358,129.7,5.5,443.5,1193.1,9.2,0.51,,,,,,,
DL-01385,정밀산업84,제조/소재,2차전지소재,경기,2019,152,세컨더리 1호,Secondary,2023,박민재,스크리닝(Screening),,,,72,24.8,34.5,109.1,308.0,12.4,4.28,,,,,,,
DL-01386,한솔금융,금융서비스,인슈어테크,서울,1999,278,그로쓰 1호 PEF,Growth,2016,배준영,실사(DD),,,,112,34.7,31.0,126.2,475.7,13.7,4.25,,,,,,,
DL-01387,대명미디어22,미디어/콘텐츠,교육,경북,2012,800,그로쓰 3호 PEF,Growth,2022,오세훈,실사(DD),,,,294,95.5,32.5,109.6,859.9,9.0,2.92,,,,,,,
DL-01388,태광케미칼88,제조/소재,산업기계,서울,2018,657,벤처그로쓰 1호,Venture,2020,최예린,실사(DD),,,,549,152.6,27.8,56.7,2090.9,13.7,3.81,,,,,,,
DL-01389,유진산업42,제조/소재,철강금속,부산,2004,1763,그로쓰 2호 PEF,Growth,2019,남기훈,회수완료(Exited),2022-03-16,580.4,65.0,1023,107.4,10.5,694.6,1536.0,14.3,1.5,2.9,,2.4,34.9,2025-02-17,1395.2,구주매출
DL-01390,가온캐피탈,금융서비스,자산관리,인천,2004,1858,그로쓰 2호 PEF,Growth,2019,오세훈,투자완료(Active),2022-02-05,376.6,45.1,893,70.5,7.9,138.9,832.5,11.8,0.93,4.3,687.8,1.83,14.9,,,
DL-01391,대명커머스64,물류/유통,도소매유통,대전,1988,350,벤처그로쓰 1호,Venture,2020,이서준,보류/철회(Dropped),,,,144,33.4,23.2,58.6,337.4,10.1,2.34,,,,,,,
